Algorithm,Scenario,Noise_meters,Accuracy,Drop
KNN,Scenario 1 (V2I - Day - Location A),0.5,44.123711340206185,7.422680412371129
KNN,Scenario 1 (V2I - Day - Location A),1.0,34.02061855670103,17.525773195876283
KNN,Scenario 1 (V2I - Day - Location A),2.0,27.628865979381445,23.91752577319587
KNN,Scenario 1 (V2I - Day - Location A),3.0,20.20618556701031,31.340206185567006
KNN,Scenario 1 (V2I - Day - Location A),5.0,17.7319587628866,33.814432989690715
NN,Scenario 1 (V2I - Day - Location A),0.5,48.04123711340206,5.154639175257735
NN,Scenario 1 (V2I - Day - Location A),1.0,40.41237113402062,12.78350515463918
NN,Scenario 1 (V2I - Day - Location A),2.0,32.16494845360825,21.03092783505155
NN,Scenario 1 (V2I - Day - Location A),3.0,25.15463917525773,28.041237113402065
NN,Scenario 1 (V2I - Day - Location A),5.0,17.7319587628866,35.4639175257732
RF,Scenario 1 (V2I - Day - Location A),0.5,46.597938144329895,4.742268041237111
RF,Scenario 1 (V2I - Day - Location A),1.0,34.02061855670103,17.319587628865975
RF,Scenario 1 (V2I - Day - Location A),2.0,27.216494845360824,24.12371134020618
RF,Scenario 1 (V2I - Day - Location A),3.0,22.68041237113402,28.659793814432984
RF,Scenario 1 (V2I - Day - Location A),5.0,17.31958762886598,34.020618556701024
XGB,Scenario 1 (V2I - Day - Location A),0.5,47.01030927835051,5.567010309278359
XGB,Scenario 1 (V2I - Day - Location A),1.0,36.28865979381443,16.28865979381444
XGB,Scenario 1 (V2I - Day - Location A),2.0,26.804123711340207,25.773195876288664
XGB,Scenario 1 (V2I - Day - Location A),3.0,20.412371134020617,32.164948453608254
XGB,Scenario 1 (V2I - Day - Location A),5.0,17.31958762886598,35.25773195876289
NB,Scenario 1 (V2I - Day - Location A),0.5,33.19587628865979,0.6185567010309327
NB,Scenario 1 (V2I - Day - Location A),1.0,29.896907216494846,3.9175257731958766
NB,Scenario 1 (V2I - Day - Location A),2.0,24.948453608247423,8.8659793814433
NB,Scenario 1 (V2I - Day - Location A),3.0,19.587628865979383,14.22680412371134
NB,Scenario 1 (V2I - Day - Location A),5.0,13.195876288659795,20.618556701030926
KNN,Scenario 2 (V2I - Night),0.5,39.66386554621849,5.882352941176471
KNN,Scenario 2 (V2I - Night),1.0,33.27731092436974,12.268907563025216
KNN,Scenario 2 (V2I - Night),2.0,26.89075630252101,18.65546218487395
KNN,Scenario 2 (V2I - Night),3.0,21.51260504201681,24.03361344537815
KNN,Scenario 2 (V2I - Night),5.0,15.966386554621847,29.57983193277311
NN,Scenario 2 (V2I - Night),0.5,43.69747899159664,1.0084033613445413
NN,Scenario 2 (V2I - Night),1.0,37.47899159663866,7.226890756302524
NN,Scenario 2 (V2I - Night),2.0,28.907563025210088,15.798319327731093
NN,Scenario 2 (V2I - Night),3.0,25.546218487394956,19.159663865546225
NN,Scenario 2 (V2I - Night),5.0,18.319327731092436,26.386554621848745
RF,Scenario 2 (V2I - Night),0.5,41.84873949579832,4.3697478991596626
RF,Scenario 2 (V2I - Night),1.0,34.45378151260504,11.764705882352942
RF,Scenario 2 (V2I - Night),2.0,27.058823529411764,19.159663865546218
RF,Scenario 2 (V2I - Night),3.0,22.18487394957983,24.03361344537815
RF,Scenario 2 (V2I - Night),5.0,15.126050420168067,31.092436974789916
XGB,Scenario 2 (V2I - Night),0.5,42.18487394957983,4.537815126050418
XGB,Scenario 2 (V2I - Night),1.0,37.3109243697479,9.411764705882348
XGB,Scenario 2 (V2I - Night),2.0,30.084033613445378,16.63865546218487
XGB,Scenario 2 (V2I - Night),3.0,21.176470588235293,25.546218487394956
XGB,Scenario 2 (V2I - Night),5.0,16.134453781512605,30.588235294117645
NB,Scenario 2 (V2I - Night),0.5,24.369747899159663,0.0
NB,Scenario 2 (V2I - Night),1.0,23.52941176470588,0.8403361344537821
NB,Scenario 2 (V2I - Night),2.0,21.84873949579832,2.5210084033613427
NB,Scenario 2 (V2I - Night),3.0,18.319327731092436,6.050420168067227
NB,Scenario 2 (V2I - Night),5.0,13.949579831932773,10.42016806722689
KNN,Scenario 3 (V2I - Day - Location B),0.5,29.53020134228188,0.0
KNN,Scenario 3 (V2I - Day - Location B),1.0,24.496644295302016,1.6778523489932873
KNN,Scenario 3 (V2I - Day - Location B),2.0,20.469798657718123,5.70469798657718
KNN,Scenario 3 (V2I - Day - Location B),3.0,19.798657718120804,6.375838926174499
KNN,Scenario 3 (V2I - Day - Location B),5.0,15.771812080536913,10.40268456375839
NN,Scenario 3 (V2I - Day - Location B),0.5,32.88590604026846,0.0
NN,Scenario 3 (V2I - Day - Location B),1.0,29.194630872483224,3.3557046979865746
NN,Scenario 3 (V2I - Day - Location B),2.0,24.496644295302016,8.053691275167782
NN,Scenario 3 (V2I - Day - Location B),3.0,23.154362416107382,9.395973154362416
NN,Scenario 3 (V2I - Day - Location B),5.0,16.44295302013423,16.10738255033557
RF,Scenario 3 (V2I - Day - Location B),0.5,26.174496644295303,2.0134228187919447
RF,Scenario 3 (V2I - Day - Location B),1.0,26.845637583892618,1.3422818791946298
RF,Scenario 3 (V2I - Day - Location B),2.0,22.818791946308725,5.369127516778523
RF,Scenario 3 (V2I - Day - Location B),3.0,20.469798657718123,7.718120805369125
RF,Scenario 3 (V2I - Day - Location B),5.0,16.778523489932887,11.40939597315436
XGB,Scenario 3 (V2I - Day - Location B),0.5,31.543624161073826,0.0
XGB,Scenario 3 (V2I - Day - Location B),1.0,27.181208053691275,3.0201342281879207
XGB,Scenario 3 (V2I - Day - Location B),2.0,22.14765100671141,8.053691275167786
XGB,Scenario 3 (V2I - Day - Location B),3.0,21.140939597315437,9.060402684563758
XGB,Scenario 3 (V2I - Day - Location B),5.0,16.10738255033557,14.093959731543627
NB,Scenario 3 (V2I - Day - Location B),0.5,11.74496644295302,0.0
NB,Scenario 3 (V2I - Day - Location B),1.0,11.409395973154362,0.33557046979865746
NB,Scenario 3 (V2I - Day - Location B),2.0,11.74496644295302,0.0
NB,Scenario 3 (V2I - Day - Location B),3.0,9.731543624161073,2.0134228187919465
NB,Scenario 3 (V2I - Day - Location B),5.0,8.389261744966444,3.3557046979865763
